package,package_version,layer_version_arn,time_to_live
python-Levenshtein-wheels,0.13.1,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-python-Levenshtein-wheels:1,
pytz,2019.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-pytz:1,
PyYAML,5.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-PyYAML:1,11-02-2020
PyYAML,5.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-PyYAML:2,
records,0.5.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-records:1,19-02-2020
records,0.5.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-records:2,
reportlab,3.5.32,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-reportlab:1,19-02-2020
reportlab,3.5.34,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-reportlab:2,
requests,2.22.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-requests:1,
scipy,1.3.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-scipy:1,
simplejson,3.17.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-simplejson:1,
slackclient,2.5.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-slackclient:1,
spacy,2.2.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-spacy:4,05-02-2020
spacy,2.2.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-spacy:5,11-02-2020
spacy,2.2.3,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-spacy:6,
SQLAlchemy,1.3.12,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-SQLAlchemy:2,
tablib,0.14.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-tablib:1,11-02-2020
tablib,0.14.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-tablib:2,19-02-2020
tablib,1.0.0,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-tablib:3,
textdistance,4.1.5,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-textdistance:1,
tinydb,3.15.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-tinydb:2,
tldextract,2.2.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-tldextract:1,19-02-2020
tldextract,2.2.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-tldextract:2,
twilio,6.35.2,arn:aws:lambda:us-east-1:908645878701:layer:pylayers-python38-dev-twilio:1,
